"","date","name","price.mean"
"327",2011-02-16,"인천",1680
"328",2011-02-16,"전주",1680
"329",2011-02-16,"제주",2240
"330",2011-02-16,"청주",2580
"331",2011-02-17,"광주",2060
"332",2011-02-17,"대구",2185
"333",2011-02-17,"대전",2010
"334",2011-02-17,"부산",2635
"335",2011-02-17,"서울 ",2091.66666666667
"336",2011-02-17,"수원",2690
"337",2011-02-17,"울산",2680
"338",2011-02-17,"인천",1680
"339",2011-02-17,"전주",1680
"340",2011-02-17,"제주",2240
"341",2011-02-17,"청주",2580
"342",2011-02-18,"광주",2060
"343",2011-02-18,"대구",2085
"344",2011-02-18,"대전",2010
"345",2011-02-18,"부산",2635
"346",2011-02-18,"서울 ",2076.66666666667
"347",2011-02-18,"수원",2690
"348",2011-02-18,"울산",2680
"349",2011-02-18,"인천",1680
"350",2011-02-18,"전주",1680
"351",2011-02-18,"제주",1980
"352",2011-02-18,"청주",1650
"353",2011-02-21,"광주",2060
"354",2011-02-21,"대구",2085
"355",2011-02-21,"대전",2010
"356",2011-02-21,"부산",2635
"357",2011-02-21,"서울 ",2018.33333333333
"358",2011-02-21,"수원",2510
"359",2011-02-21,"울산",2680
"360",2011-02-21,"인천",1680
"361",2011-02-21,"전주",1680
"362",2011-02-21,"제주",1980
"363",2011-02-21,"청주",1650
"364",2011-02-22,"광주",2060
"365",2011-02-22,"대구",2085
"366",2011-02-22,"대전",2010
"367",2011-02-22,"부산",2635
"368",2011-02-22,"서울 ",2018.33333333333
"369",2011-02-22,"수원",2510
"370",2011-02-22,"울산",2680
"371",2011-02-22,"인천",1680
"372",2011-02-22,"전주",1680
"373",2011-02-22,"제주",1980
"374",2011-02-22,"청주",1650
"375",2011-02-23,"광주",2035
"376",2011-02-23,"대구",2130
"377",2011-02-23,"대전",2010
"378",2011-02-23,"부산",2585
"379",2011-02-23,"서울 ",1835
"380",2011-02-23,"수원",2510
"381",2011-02-23,"울산",2680
"382",2011-02-23,"인천",1580
"383",2011-02-23,"전주",1680
"384",2011-02-23,"제주",1980
"385",2011-02-23,"청주",1650
"386",2011-02-24,"광주",2010
"387",2011-02-24,"대구",2130
"388",2011-02-24,"대전",1985
"389",2011-02-24,"부산",2585
"390",2011-02-24,"서울 ",1681.66666666667
"391",2011-02-24,"수원",2510
"392",2011-02-24,"울산",2680
"393",2011-02-24,"인천",1580
"394",2011-02-24,"전주",1680
"395",2011-02-24,"제주",1980
"396",2011-02-24,"청주",1650
"397",2011-02-25,"광주",1985
"398",2011-02-25,"대구",2130
"399",2011-02-25,"대전",1985
"400",2011-02-25,"부산",2585
"401",2011-02-25,"서울 ",1681.66666666667
"402",2011-02-25,"수원",2510
"403",2011-02-25,"울산",2680
"404",2011-02-25,"인천",1580
"405",2011-02-25,"전주",1680
"406",2011-02-25,"제주",1980
"407",2011-02-25,"청주",1650
"408",2011-02-28,"광주",1985
"409",2011-02-28,"대구",2130
"410",2011-02-28,"대전",1985
"411",2011-02-28,"부산",2585
"412",2011-02-28,"서울 ",1760
"413",2011-02-28,"수원",2510
"414",2011-02-28,"울산",2680
"415",2011-02-28,"인천",1580
"416",2011-02-28,"전주",1680
"417",2011-02-28,"제주",1980
"418",2011-02-28,"청주",2450
"419",2011-03-02,"광주",1985
"420",2011-03-02,"대구",2130
"421",2011-03-02,"대전",1730
"422",2011-03-02,"부산",2585
"423",2011-03-02,"서울 ",1760
"424",2011-03-02,"수원",2510
"425",2011-03-02,"울산",2680
"426",2011-03-02,"인천",1580
"427",2011-03-02,"전주",1680
"428",2011-03-02,"제주",1980
