"","서울","부산","대구","인천","광주","대전","울산","수원","청주","전주","제주"
"193",1795,1802.5,1817.5,1600,1790,1785,1680,2090,1580,1680,2250
"194",1770,1802.5,1817.5,1600,1790,1785,1680,2090,1580,1680,1680
"195",1770,1802.5,1817.5,1600,1790,1690,1680,2090,1580,1680,2250
"196",1770,1802.5,1817.5,1600,1765,1690,1680,2090,1580,1680,2250
"197",1770,1802.5,1817.5,1600,1765,1690,1680,2090,1580,1680,2250
"198",1800,1720,1735,1680,1702.5,1702.5,1650,2090,1580,1650,2360
"199",1695,1720,1735,1680,1702.5,1702.5,1650,2090,1580,1650,2360
"200",1763.33333333333,1720,1735,1680,1727.5,1702.5,1650,2090,1580,1650,1580
"201",1763.33333333333,1720,1707.5,1680,1727.5,1702.5,1650,2180,1580,1650,1580
"202",1763.33333333333,1720,1707.5,1680,1727.5,1702.5,1650,2180,1580,1650,1580
"203",1491.66666666667,1710,1592.5,1350,1577.5,1527.5,1680,2180,1280,1280,2360
"204",1435,1710,1535,1180,1520,1485,1680,2180,1280,1280,2360
"205",1416.66666666667,1710,1517.5,1180,1452.5,1485,1680,2180,1280,1280,2360
"206",1416.66666666667,1710,1517.5,1180,1410,1485,1680,2180,1280,1280,1280
"207",1416.66666666667,1710,1517.5,1180,1410,1485,1680,2180,1280,1280,1280
"208",1598.33333333333,1610,1592.5,1250,1402.5,1552.5,1480,2180,1280,1650,1680
"209",1461.66666666667,1485,1642.5,1250,1452.5,1602.5,1480,2180,1280,1650,1680
"210",1680,1785,1702.5,1250,1660,1602.5,1480,2180,1680,1650,1980
"211",1571.66666666667,1785,1702.5,1250,1653.33333333333,1602.5,1480,2180,1680,1650,1980
"212",1610,1785,1690,1250,1653.33333333333,1602.5,1680,2180,1680,1650,1980
"213",1681.66666666667,1635,1590,1250,1653.33333333333,1710,1680,2150,1680,1650,1830
"214",1610,1635,1690,1250,1510,1710,1680,2150,1680,1650,1650
